Timestep	A_X	A_Y	A_Z	A_VX	A_VY	A_VZ	B_X	B_Y	B_Z	B_VX	B_VY	B_VZ	C_X	C_Y	C_Z	C_VX	C_VY	C_VZ
60.00	-1.971579e+09	3.786527e+06	0.000000e+00	7.355267e+01	3.786520e+04	0.000000e+00	1.981402e+06	2.244000e+11	-1.132692e+251	1.981402e+04	-1.819244e-243	-3.775640e+249	2.516413e+09	-4.832911e+06	0.000000e+00	-9.387852e+01	-4.832903e+04	0.000000e+00
120.00	-1.971568e+09	7.573038e+06	0.000000e+00	1.471050e+02	3.786498e+04	0.000000e+00	3.962804e+06	2.244000e+11	-4.908332e+251	1.981402e+04	-3.638489e-243	-3.775640e+249	2.516399e+09	-9.665802e+06	0.000000e+00	-1.877567e+02	-4.832874e+04	0.000000e+00
180.00	-1.971550e+09	1.135952e+07	0.000000e+00	2.206568e+02	3.786461e+04	0.000000e+00	5.944207e+06	2.244000e+11	-8.683972e+251	1.981402e+04	-5.457733e-243	-3.775640e+249	2.516376e+09	-1.449866e+07	0.000000e+00	-2.816341e+02	-4.832827e+04	0.000000e+00
240.00	-1.971524e+09	1.514596e+07	0.000000e+00	2.942078e+02	3.786410e+04	0.000000e+00	7.925609e+06	2.244000e+11	-1.245961e+252	1.981402e+04	-7.276978e-243	-3.775640e+249	2.516343e+09	-1.933145e+07	0.000000e+00	-3.755104e+02	-4.832762e+04	0.000000e+00
300.00	-1.971491e+09	1.893234e+07	0.000000e+00	3.677577e+02	3.786345e+04	0.000000e+00	9.907011e+06	2.244000e+11	-1.623525e+252	1.981402e+04	-9.096222e-243	-3.775640e+249	2.516301e+09	-2.416418e+07	0.000000e+00	-4.693853e+02	-4.832679e+04	0.000000e+00
360.00	-1.971451e+09	2.271865e+07	0.000000e+00	4.413062e+02	3.786266e+04	0.000000e+00	1.188841e+07	2.244000e+11	-2.001089e+252	1.981402e+04	-1.091547e-242	-3.775640e+249	2.516250e+09	-2.899681e+07	0.000000e+00	-5.632585e+02	-4.832578e+04	0.000000e+00
420.00	-1.971404e+09	2.650487e+07	0.000000e+00	5.148530e+02	3.786173e+04	0.000000e+00	1.386982e+07	2.244000e+11	-2.378653e+252	1.981402e+04	-1.273471e-242	-3.775640e+249	2.516189e+09	-3.382934e+07	0.000000e+00	-6.571296e+02	-4.832459e+04	0.000000e+00
480.00	-1.971349e+09	3.029100e+07	0.000000e+00	5.883980e+02	3.786066e+04	0.000000e+00	1.585122e+07	2.244000e+11	-2.756217e+252	1.981402e+04	-1.455396e-242	-3.775640e+249	2.516119e+09	-3.866173e+07	0.000000e+00	-7.509983e+02	-4.832322e+04	0.000000e+00
540.00	-1.971286e+09	3.407701e+07	0.000000e+00	6.619408e+02	3.785944e+04	0.000000e+00	1.783262e+07	2.244000e+11	-3.133781e+252	1.981402e+04	-1.637320e-242	-3.775640e+249	2.516039e+09	-4.349398e+07	0.000000e+00	-8.448642e+02	-4.832167e+04	0.000000e+00
600.00	-1.971217e+09	3.786289e+07	0.000000e+00	7.354812e+02	3.785808e+04	0.000000e+00	1.981402e+07	2.244000e+11	-3.511345e+252	1.981402e+04	-1.819244e-242	-3.775640e+249	2.515951e+09	-4.832607e+07	0.000000e+00	-9.387271e+02	-4.831994e+04	0.000000e+00
